iso3c,region_id,country_name,income_id,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,other_information_information_system_for_solid_waste_management,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_ppp_rules_and_regulations,other_information_summary_of_key_solid_waste_information_made_available_to_the_public,population_population_number_of_people,special_waste_agricultural_waste_tons_year,special_waste_construction_and_demolition_waste_tons_year,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,special_waste_industrial_waste_tons_year,special_waste_medical_waste_tons_year,total_msw_total_msw_generated_tons_year,waste_collection_coverage_rural_percent_of_geographic_area,waste_collection_coverage_rural_percent_of_households,waste_collection_coverage_rural_percent_of_population,waste_collection_coverage_rural_percent_of_waste,waste_collection_coverage_total_percent_of_geographic_area,waste_collection_coverage_total_percent_of_households,waste_collection_coverage_total_percent_of_population,waste_collection_coverage_total_percent_of_waste,waste_collection_coverage_urban_percent_of_geographic_area,waste_collection_coverage_urban_percent_of_households,waste_collection_coverage_urban_percent_of_population,waste_collection_coverage_urban_percent_of_waste,waste_treatment_anaerobic_digestion_percent,waste_treatment_compost_percent,waste_treatment_controlled_landfill_percent,waste_treatment_incineration_percent,waste_treatment_landfill_unspecified_percent,waste_treatment_open_dump_percent,waste_treatment_other_percent,waste_treatment_recycling_percent,waste_treatment_sanitary_landfill_landfill_gas_system_percent,waste_treatment_unaccounted_for_percent,waste_treatment_waterways_marine_percent,where_where_is_this_data_measured
ABW,LCN,Aruba,HIC,,,,,,,,,,,"",Yes,Yes,Yes,Yes,103187,,,,,,,88132.0167,,,,,,,,,,,,,,,,,,,,11,,89,,""
AFG,SAS,Afghanistan,LIC,21413614653.3241,,,,,,,,,,"",Yes,Yes,Yes,"",34656032,6802511,,2e4,,,9855,5628525.37,,,,,,,,,,,,,,,,,,,,,,,,Other
AGO,SSF,Angola,LMC,103042328743.665,51.8,6.7,4.4,11.5,11.9,13.5,,,,"","",Yes,Yes,"",25096150,,,92e3,,,5495.95,4213643.585,,,,,,,23.1,,,,,,,,,,,,,,,,,""
ALB,ECS,Albania,UMC,13471082475.1768,51.4,4.5,4.8,15.209999999999999,9.9,9.6,,4.6,,No,Yes,Yes,Yes,No,2880703,,203009,2e4,5714.82,270269,114.3,1142964,,,,,,,60,,,,,,,,,,,,,,,,,Some disposal sites
AND,ECS,Andorra,HIC,3319880351.13342,31.2,8.2,2.6,11.6,35.1,11.3,,,,"",Yes,Yes,Yes,"",82431,,,,1788,,,43e3,,,,,,,100,,,,,,,,,52.1,,,,,,47.9,,""
ARE,MEA,United Arab Emirates,HIC,384222464261.402,39,4,3,10,25,19,,,,Yes,Yes,"",Yes,"",9269612,493106,2876313,134e3,57525,3306644,4573,5413453.408,,,,,,,,,,,,,,9,,,9,62,,20,,,,""
ARG,LCN,Argentina,HIC,447517812725.52,38.74,3.16,1.84,15.36,13.96,14.61,1.26,1.09,9.95,Yes,"",Yes,Yes,"",42981515,,,291700,310044,,,17910550,,,,,,,89.91,,,,94.82,,,,8.9,,,22.6,,6,62.5,,,Other
ARM,ECS,Armenia,UMC,11501998665.6524,57,3.2,3.4,17.4,6.7,11.4,0.3,0.6,,No,No,Yes,No,"",2906220,1570,7820,14e3,62270,47310540,,492800,,,10,,,,,,,,90,,,,,,,100,,,,,,Other
ASM,EAS,American Samoa,UMC,534555066.079295,19.7,3.4,7.9,25.6,26.4,12.8,4.2,,,"",Yes,"","","",55599,,,,,,,18989.49,,,,,,,100,,,,100,,,,,,,,,,,,,""
ATG,LCN,Antigua and Barbuda,HIC,1344373697.9233,46,7,7,12,15,13,,,,No,Yes,Yes,No,No,96777,,,1100,,,,30585,,,,,,,98.61,,,,,,,0.08,98.68,,,,,,,1.14,0.1,Disposal Site
AUS,EAS,Australia,HIC,1349304594617.26,48.44,3.81,19.38,3.46,17.3,7.61,,,,Yes,Yes,Yes,Yes,Yes,23789338,,2e7,574e3,7e6,31e6,,13345e3,,,,,,,,,,,,,,,,9.77,48.87,,,42.1,,,,""
AUT,ECS,Austria,HIC,420040461384.701,31.4,7,4.4,18.5,19.7,11.1,,7.9,,"",Yes,Yes,No,"",8633169,1887723,42423893,166174,1272288,,696748,4836e3,,,,,,,,97.77,,,,,,31.24,,37.9,2.98,,,25.66,,2.22,,""
AZE,ECS,Azerbaijan,UMC,57195531761.5917,45.19,5.28,3.49,13.729999999999999,10.93,7.87,3.09,,10.42,"",Yes,Yes,No,"",9649341,,,63e3,296979.4,,,2930349,,,,,,,56,,,,90,,,,,,,100,,,,,,Various
BDI,SSF,Burundi,LIC,2297241391.84594,81,2.9,2.1,3.2,7.3,3.5,,,,"","","","","",6741569,,,5e3,,,,1872016,,,,,,,,,,,,,,,,,,,,,,,,""
BEL,ECS,Belgium,HIC,515102640677.261,14.18,3.1,1.91,40.14,18.38,13.94,,2.37,5.84,"",Yes,Yes,No,"",11274196,5635143,35824399,603575,2946195,,2397368,4708e3,,,,,,,,97.74,,,,,,19.137,,43.39,0.91,,,34.303,,2.26,,""
BEN,SSF,Benin,LIC,9102277422.82945,52.1,1.6,1.6,34.3,3.1,7.3,,,,"","",Yes,Yes,"",5521763,,,8200,,,1698,685936.01,,,,,,,,,,,,,,,,,,,,25,,75,,""
BFA,SSF,Burkina Faso,LIC,12380518526.0539,21,1,1,61,7,9,,,,No,No,Yes,Yes,"",18110624,,,11e3,7871,,,2575251.11,,,,,,,9.6,34.52,,,,,,,,,17,59,,12,,12,,""
BGD,SAS,Bangladesh,LMC,167771337874.218,80.57999999999998,0.44,0.5,8.59,3.04,4.67,1.08,,1.1,No,Yes,Yes,Yes,"",155727053,65e6,,142e3,114358,26884,12271,14778497.33,,,,,,,,52,,,60.39,,,5.25,,,,,,,,94.75,,Source
BGR,ECS,Bulgaria,UMC,56792405577.3656,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,Yes,Yes,Yes,Yes,Yes,7177991,983646,172369117,53785,12206169,,518228,3011e3,,,,,,,,98.3,,,,,,10.32,,2.75,66.22,,,19.03,,1.68,,Other
BHR,MEA,Bahrain,HIC,31769062885.3112,59.1,3.4,2.1,15.2,12.8,7.4,,,,No,Yes,Yes,"","",1425171,,570099.67,2e4,31e3,14e4,911e3,951942.9694500001,,,,,,,,,,,,,,,,,92,,,8,,,,Disposal Site
BHS,LCN,"Bahamas, The",HIC,10343803831.7942,46,7,7,12,15,13,,,,No,Yes,No,No,No,386838,,,4900,,,,264e3,,,,,,,,,,,,,,,,,,,,,,,,""
BIH,ECS,Bosnia and Herzegovina,UMC,18929698720.1192,,,,92.7,4.9,,,,2.4,No,No,No,Yes,Yes,3535961,,252310,1409,8408,4048650,8150,1248718,,,,,,,,73.99,,,,,,,8.55,,,41.75,0.025,9.7e-4,24.12,25.554029999999997,,Other
BLR,ECS,Belarus,UMC,59187019676.14,30,8,2,35,5,12,6,2,,Yes,Yes,Yes,Yes,Yes,9489616,,,72e3,1336926,,,428e4,,,69.2,,,,93.2,,,,100,,,,76.9,,,7.1,,16,,,,At the disposal sites and at the waste generation source
BLZ,LCN,Belize,UMC,1602671549.36449,47,8,5,5,16,19,,,,Yes,Yes,Yes,"","",359288,,,2300,,,188,101378.83030000002,,,,,,,85.2,,,,,,,,,,,66,,,34,,,""
BMU,NAC,Bermuda,HIC,,17,9,6,26,29,13,,,,Yes,Yes,Yes,No,"",64798,,,,525,,,82e3,,,,,,,100,,,,,,,18.3,12.2,67.6,,,,2,,,,""
BOL,LCN,Bolivia,LMC,26758341469.4947,55.19691119691119,2.9034749034749034,2.501930501930502,22.702702702702705,6.501930501930501,10.193050193050194,,,,Yes,Yes,Yes,No,Yes,10724705,,,35392,545183,,4683,2219052,,,5.9,,,,57.6,,,,85.4,,,0.4,0.04,,,55.52,,12.11,31.93,,,Source
BRA,LCN,Brazil,UMC,2256907026242.19,51.4,2.4,2.9,16.7,13.1,13.5,,,,Yes,Yes,Yes,Yes,"",205962108,,45158165,1411900,,,260063,79889010,,,,,,,91.3,90.81,,,,,,0.2,21.88521,,,15.61932,,1.4,53.30547000000001,7.589999999999989,,""
BRB,LCN,Barbados,HIC,4637855785.12986,18.3,3.7,4.9,5.7,19.7,17.1,12.1,,18.6,No,Yes,No,No,No,280601,,184957,3800,9410.337,,,174815.44444444444,,,,,,,90,,,,,,,,90,,,,,9,,1,,Disposal Site
BRN,EAS,Brunei Darussalam,HIC,13301457674.8771,36,3,4,15,18,16,1,1,6,"",Yes,Yes,Yes,Yes,423196,,,7700,,,195,216253.15599999996,,,,,,,,,,,,,,2,,,,,,,70,28,,""
BTN,SAS,Bhutan,LMC,2234759341.867,58,4,1,7,17,13,,,,No,Yes,Yes,Yes,Yes,686958,,,1457.5,,1476.37,358,111314.05,,,,,,,,,,,,95,,1.39,98,,,,,0.86,,,,Source
BWA,SSF,Botswana,UMC,16843294912.9068,8.1,,0.1,91.9,,,,,,"","","","","",2014866,,,16e3,,,2500,210854.442618916,,7,,,,,,,,60,,,,,,,,,,1,,99,,""
CAF,SSF,Central African Republic,LIC,1496562091.9823,,,,,,,,,,"","",Yes,No,"",4515392,,,2700,,,,1105983,,,,,,,,,,,,,,,,,,,,,,,,""
CAN,NAC,Canada,HIC,1828002272029.79,24,6,13,8,47,3,,,,Yes,Yes,Yes,Yes,Yes,35544564,181e6,653255,724e3,,1118e6,,25103034,,,,,,,99,,,,,,,4.08,,3,72.33,,,20.590000000000003,,,,""
CHE,ECS,Switzerland,HIC,642089703646.215,29,4,3,29,20,15,,,,"",Yes,Yes,"",Yes,8372098,,639e4,184e3,12e5,147e4,,6056e3,,,,,,,99,,,,,,,21,,47,,,,32,,,,""
CHI,ECS,Channel Islands,HIC,,,,,,,,,,,"",Yes,Yes,"","",164541,,,,,,,178933,,,,,,,,,,,,,,15.909826589595378,39.218063583815,16.441907514450865,,,,28.430202312138732,,,,""
CHL,LCN,Chile,HIC,267904170064.212,53.3,6.6,2.3,16,12.4,9.4,,,,Yes,No,Yes,Yes,"",16829442,,,176e3,249755,,,6517e3,,,,,,,,95,,,,,,0.44,85.25,0.14,,8.43,0.04,0.37,,5.33,,Other
CHN,EAS,China,UMC,9505156930655.12,61.2,2.1,1.1,13.1,9.6,9.8,1.3,1.8,,"",Yes,Yes,Yes,"",137122e4,4e9,15e8,7211e3,34652400,327079e4,,21e7,,,20,,,,94,,,,,,,3,,29.84,60.16,8.21,,,,,,At Generator level
CIV,SSF,Côte d’Ivoire,LMC,36796468786.8278,,,,,,,,,,"",Yes,Yes,Yes,"",20401331,,,22e3,,,,4440814.27,,,,,,,,,,,,,,,,,,,,3,,97,,""
CMR,SSF,Cameroon,LMC,35051979601.3947,83.4,0.1,0.7,10.4,2.1,3.3,,,,"","",Yes,Yes,"",21655715,,,19e3,8716.6,,,3270616.59,,,,,,,61.6,,,,,,,,,,,80.3,,0.4,19.3,,,""
COD,SSF,"Congo, Dem. Rep.",LIC,32089998961.1136,,,,,,,,,,"","",Yes,No,"",78736153,,,,,,,14385226.02,,,,,,,,,,,,,,,,,,,,4.9,,95.1,,""
COG,SSF,"Congo, Rep.",LMC,14205686707.8991,,,,,,,,,,No,No,Yes,No,"",2648507,,,,,,,451200,,,,,,,,,,,,,,,,,,,,26.2,,73.8,,""
COL,LCN,Colombia,UMC,366456704285.594,59.58,2.35,1.1,15.74,8.4,12.83,,,,Yes,"",No,Yes,"",46406646,,,252200,270146.3,,27704,12150120,,24.1,,,,,80.6,,,97.4,,,,,,,,4,,17.2,89,,,""
COM,SSF,Comoros,LIC,611370805.212453,50,2,4,22,7,5,,,10,"","",Yes,"","",777424,,,600,,,,91013,,,,,,,,,,,,,,,,,,,,,,,,""
CPV,SSF,Cabo Verde,LMC,1860165514.9836,,,,,,,,,,Yes,Yes,Yes,"","",513979,,,2400,3548.92,,76,132555,,,,,,,70.6,,,,,,,,,,,,,,,,,""
CRI,LCN,Costa Rica,UMC,46551438317.2602,58,1,2,7,21,11,,,,"","",Yes,No,"",4757575,,8e5,35800,,,,146e4,,,,,,,90.4,,,,,,,,23.5,,,9.1,,1.26,67.5,,,""
CUB,LCN,Cuba,UMC,,68.9,4.6,1.6,3,12.3,9.6,,,,No,No,No,Yes,Yes,11303687,,,,565216,,,2692691.98,,,0.04,,,,76.9,,,,100,,,,30.68,,,42.22999999999999,,9.49,,17.6,,Other
CUW,LCN,Curacao,HIC,,,,,,,,,,,"",Yes,Yes,"","",153822,,,,,,,24703.813200000004,,,,,,,,,,,,,,,,,,,,2,,98,,""
CYM,LCN,Cayman Islands,HIC,,10.9,3.5,6.2,11.4,31.1,11,,7.3,18.6,"",Yes,Yes,"","",59172,,,,,,,6e4,,,,,,,,,,,,,,,,,,,,21,,79,,""
CYP,ECS,Cyprus,HIC,24311614954.7601,41.47,2.66,3.25,10.07,25.7,14.77,,2.08,,Yes,Yes,Yes,No,Yes,1160985,112018,1377767,18137,173377,,21404,541e3,,,,,,,,92.42,,,,,,4.62,,,74.49,,,13.31,,7.58,,""
CZE,ECS,Czech Republic,HIC,231340463131.439,62.3,2.4,8.4,14.899999999999997,9.1,2.2,,0.7,,"",Yes,Yes,Yes,"",10546059,583264,13379041,79581,1162342,,797432,3337e3,,,,,,,,100,,,,,,4.22,,17.68,52.59,,,25.5,,0.01,,""
DEU,ECS,Germany,HIC,3781698549834.74,30,10,1.4,17.7,24,13,4,,,"",Yes,Yes,Yes,Yes,81686611,15011037,275413069,2465085,21812660,,8821344,51046e3,,,,,,,,97.55,,,,,,18.23,,31.71,0.21,,,47.83,,2.02,,""
DJI,MEA,Djibouti,LMC,,,,,,,,,,,"","","","","",746221,,,900,,,,114997.24900398408,,,,,,,,,,,,,,,,,,,,,,,,""
DMA,LCN,Dominica,UMC,506021862.869353,45,8,5,14,12,16,,,,Yes,Yes,Yes,No,"",72400,,,,627,,,13176,,,,,,,94,,,,,,,,94,,,,,,,6,,Disposal site
DNK,ECS,Denmark,HIC,347519725465.965,12.78,5.78,6.29,23.86,11.57,1.61,0,7.65,30.46,Yes,Yes,Yes,Yes,Yes,5683483,1087281,11402900,168614,1718394,,317413,4485e3,,,,,,,,100,,,,,,18.99,,52.59,1.13,,,27.27,,0.02,,""
DOM,LCN,Dominican Republic,UMC,73664129264.5577,51,6,3,10,16,10,,4,,No,Yes,No,No,"",10528394,,,57e3,,,,4063910,,,,,,74.9,,,,,,,,,,,,72.57583140374663,,8.2,0.1,19.124168596253362,,Other
DZA,MEA,Algeria,UMC,196034821993.495,54.4,1.2,2.8,0.8,9.8,16.9,12.6,1.5,,Yes,Yes,Yes,"",Yes,40606052,,11e6,252e3,33e4,2547e3,3e4,12378740,,,87.5,,,,,,,,87.5,,,1,2,,,,,8,89,,,Disposal Site
ECU,LCN,Ecuador,UMC,85056519293.3115,58.67,3.01,1.53,13.780000000000001,10.25,11.44,0.44999999999999996,0.86,,Yes,Yes,No,Yes,Yes,16144368,,,73e3,193812,,11292,5297211.142533937,,63.4,,,,88.4,,,,99.3,,,,,,,,22.28,,12.9,53.22,11.6,,""
EGY,MEA,"Egypt, Arab Rep.",LMC,260816315725.83,56,4,2,15,10,13,,,,Yes,Yes,No,Yes,"",87813257,3e7,4e6,497e3,38e4,6e6,28300,21e6,,,15,,,,,,,,57.5,,,7,,,7,84,,12.5,,,,Disposal Site
ERI,SSF,Eritrea,LIC,,,,,,,,,,,"","","","","",4474690,,,3800,,,,726957.37,,,,,,,,,,,,,,,,,,,,,,,,""
ESP,ECS,Spain,HIC,1464508831011.81,49,8,3,14,15,9,,2,,No,Yes,Yes,Yes,Yes,46447697,8058640,52155411,1202597,2984518,,2990346,20151e3,,,,,,,,100,,,,,,16.45,,11.62,55.09,,,16.84,,,,""
EST,ECS,Estonia,HIC,23808677023.3013,36.7,8.3,2.6,15.899999999999999,17.5,18.6,,0.4,,Yes,Yes,Yes,No,Yes,1315407,149633,18094986,34312,10410321,,1750157,473e3,,,,,,,,86.89,,,,,,3.6,7.4,51.37,,,,24.74,,12.89,,""
ETH,SSF,Ethiopia,LIC,52347226230.2332,87.6,0.8,1.2,4.4,3.8,2.3,,,,"",Yes,Yes,"","",99873033,,,49e3,,,,6532786.97,,,,,,,,50,,,,,,,,,,43,,,,57,,""
FIN,ECS,Finland,HIC,252692239709.946,35.88,9.24,1.7,13.129999999999999,37.83,1.45,,0.73,,Yes,Yes,Yes,Yes,Yes,5479531,1079091,84662998,212954,1998693,,1006713,2738e3,,,,,,,,100,,,,,,12.45,,47.92,11.5,,,28.12,,0.01,,""
FJI,EAS,Fiji,UMC,3771168285.97478,33.2,4.1,1.9,3.5,12.5,7.5,0.1,,37.2,"",Yes,Yes,Yes,"",867086,,,4600,,,316.16,189389.594,,,,,,,,,,,,,,,,,52,,,5.45,,42.55,,Household waste collected
FRA,ECS,France,HIC,2806036371233.86,32,10,3,26,20,9,,,,"",Yes,Yes,Yes,"",66624068,11304163,236301207,2218682,10783405,,4867183,33399e3,,,,,,,,100,,,,,,17.26,,34.7,25.76,,,22.26,,0.02,,""
FRO,ECS,Faeroe Islands,HIC,,,,,,,,,,,"","",Yes,No,"",48842,,,,,,,61e3,,,,,,,,,,,,,,,,,,,,67,,33,,""
FSM,EAS,"Micronesia, Fed. Sts.",LMC,296282643.971121,23.83,7.07,16.73,9.32,13.3,26.17,3.58,,,"",Yes,Yes,None,"",104937,,,200,,,73.47,26039.57,,,,,,,8,,,,35,,,,,,,,,,,,,""
GAB,SSF,Gabon,UMC,18912467101.0138,,,,,,,,,,"","","",Yes,"",1086137,,,14e3,,,,238102.31,,,3.8,,,,23.6,,,,28.5,,,,,,,,,,,,,""
GBR,ECS,United Kingdom,HIC,2757620259273.38,16.7,2.2,3.5,28.2,18.9,20.2,,7.6,2.7,Yes,Yes,Yes,No,"",65128861,10365788,156803699,3584126,5755258,,4218205,31567e3,,,,,,,,97.43,,,,,,16.23,,31.38,22.568,,,27.25,,2.5720000000000027,,""
GEO,ECS,Georgia,LMC,15189614350.7215,39,3,5,16,34,3,,,,No,No,Yes,"","",3717100,,,21e3,,,,8e5,,,,,,,60,,,,,,,,,,,,,,,,,""
GHA,SSF,Ghana,LMC,48199090351.9329,67,0,1,25,3,4,,,,"",Yes,Yes,Yes,"",21542009,,,39e3,,,,3538274.97825,,,,,,,,,,,,,,,,,,,,,,,,""
GIB,ECS,Gibraltar,HIC,,24.57,4.42,4.37,14.379999999999999,33.65,15.86,,,,"",Yes,Yes,Yes,Yes,33623,,3e4,201.44,58995.04,,,16954,,,,,,,,,,,,,,,,,,,,,,,,""
GIN,SSF,Guinea,LIC,9667718426.6828,58,1,1,27,9,4,,,,"","",Yes,Yes,"",8132552,,,8e3,,,,596911,,,,,,,,,,,,,,,,,,,,5,,95,,""
GMB,SSF,"Gambia, The",LIC,1084318240.80394,35,1.9,2.1,51.4,9.7,,,,,"",Yes,Yes,No,"",1311349,,,2200,,,,193440.54,,,,,,,,,,,,,,,,,,,,,,,,""
GNB,SSF,Guinea-Bissau,LIC,1062488924.5797,,,,,,,,,,"","","","","",1770526,,,1e3,,,,289514,,,,,,,,,,,,,,,,,,,,,,,,""
GNQ,SSF,Equatorial Guinea,UMC,15045964750.1647,,,,,,,,,,"","","","","",1221490,,,,,,,198443.06,,,,,,,,,,,,,,,,,,,,,,,,""
GRC,ECS,Greece,HIC,244480923173.545,40,3,3,9,29,14,2,,,No,Yes,Yes,Yes,Yes,10892413,575225,59985396,188460,221041,,251623,5477424,100,,,,100,,,,100,,,,,,,,80,,1,19,,,,""
GRD,LCN,Grenada,UMC,931118693.454099,27.1,3.1,2.4,36.5,13.6,16.4,0.9,,,Yes,Yes,Yes,Yes,"",105481,,,800,,,,29536.113936927773,,,,,,98.3,,,,,,,,0.2,98.3,,,,1.5,,,,,Disposal Site
GRL,ECS,Greenland,HIC,2823634003.66281,42.8,7.1,2,33.4,11.4,2.4,,1,,"","",Yes,No,"",56905,,,,730,,,5e4,,,,,,,,,,,,,,,,40,60,,,,,,,""
GTM,LCN,Guatemala,UMC,51421926687.8027,37.7144911834619,4.391835579814286,,18.01847364137028,16.046702153078943,17.290808751009344,,,6.537688691265234,"","",No,Yes,"",16252429,,,55e3,10051,,818.6,2756740.97135,,,,,,,77.7,,,,,,,,9.6,,,69.8,,,15.4,5.200000000000003,,""
GUM,EAS,Guam,HIC,5214914976.43925,27.3,4.6,9,8.7,28.5,12.4,3.1,6.4,,"",Yes,Yes,Yes,Yes,159973,,,,,,,141500,,,100,,,,100,,,,100,,,,,,,,,17.85,64,18.15,,""
GUY,LCN,Guyana,UMC,2925825405.86112,50.1,4.7,4.2,12.099999999999998,10.7,14.2,1.5,2.5,,No,Yes,No,No,No,746556,,,5e3,741.78,,,179251.5,,,,,,,89,,,,,,,,,,61.37,,,0.54,,38.09,,Other
HKG,EAS,"Hong Kong SAR, China",HIC,270105365069.123,35,3,2,14,22,21,,3,,Yes,Yes,Yes,Yes,Yes,7305700,,1533e3,7e4,54812,,2268,5679816.465,,,,,,,100,,,,,,,,,,66,,,34,,,,""
HND,LCN,Honduras,LMC,19545909275.2757,57.9,1.27,2.11,6.62,17.36,14.41,0.33,,,No,"",Yes,Yes,"",9112867,,,1700,253.14,,,2162027.69575,,,,,,,64.6,,,,,,,,59.9,,,15,,,11.3,13.8,,""
HRV,ECS,Croatia,HIC,61095271083.0161,30.9,3.7,2.1,11.5,23.2,22.9,,,5.7,Yes,Yes,Yes,Yes,"",4203604,395664,805354,58078,130326,,56814,1654e3,,,,,,,,97.76,,,,,,1.69,,,79.75,,,16.32,,2.24,,""
HTI,LCN,Haiti,LIC,7911616492.26845,61.3,1.6,2.5,16.80000000000001,4.1,12.7,,1,,No,No,No,No,No,10847334,,,6e3,,,,2309852.45485,,0.4,,,,12.4,,,,,23.8,,,,9.94,,,,,,,90.06,,Source
HUN,ECS,Hungary,HIC,147182870839.849,22.5,3.5,1.8,45.9,13.4,13,,,,Yes,Yes,Yes,Yes,Yes,9843028,699238,7605276,50066,596554,,489182,3712e3,,,,,,,,99.94,,,,,,6.22,,14.14,53.64,,,25.94,,0.06,,""
IDN,EAS,Indonesia,LMC,1037863871681.45,53.8,2.5,1.8,12.9,14.9,14,,,,"",Yes,Yes,Yes,"",261115456,122e6,,1274e3,23e6,,82125,652e5,,,,,,,45,,,,,,,,,,69,10,14,7,,,,""
IMN,ECS,Isle of Man,HIC,,,,,,,,,,,Yes,Yes,Yes,"",Yes,80759,,122965,,,48783,,50551,,,,,,,,96,,,,,,,,25,25,,,50,,,,""
IND,SAS,India,LMC,2466177043270.51,,,,,,,,,,No,Yes,Yes,Yes,Yes,1071477855,,275e5,17e5,7467e3,,180784.5,168403239.95,,,,,,,,,,,,78.19,,18,,,,77,,5,,,,""
IRL,ECS,Ireland,HIC,332361374827.626,16.6,8.5,3.7,25.8,25,12.4,,1.9,6.1,"",Yes,Yes,Yes,Yes,4586897,554285,7898378,212874,482907,,776112,2692537,,,,,,,,92.04,,,,,,6,41,17,,,2,33,,1,,""
IRN,MEA,"Iran, Islamic Rep.",UMC,540581175875.242,72.9,1.9,2.3,5,7.3,8.5,1.1,1.3,,No,Yes,Yes,Yes,No,80277428,16049e3,8e7,63e4,8e6,3e7,1609650,17885e3,,,100,,,,100,,,,100,,0.3,12,10,0.4,,72,,5,,0.3,,Source
IRQ,MEA,Iraq,UMC,213937533186.719,68.7,2.3,0.98,6,9.6,5.29,5.09,0.85,0.93,No,No,No,"","",36115649,,,221e3,20622,,,1314e4,,,,,,,76,,,,,,,,,,,100,,,,,,Source
ISL,ECS,Iceland,HIC,16434890343.1097,10,,,,38,9,,29,14,"",Yes,Yes,No,Yes,330815,5e3,1e3,7600,7e3,1e4,,525e3,,,,,,,100,,,,,,,2.86,,1.9,30.29,,9.140000000000002,55.81,,,,""
ISR,MEA,Israel,HIC,287807589783.365,34,3,3,16,24,18,,,2,"",Yes,Yes,"",Yes,8380100,,7e6,12e4,321e3,,,54e5,,,,,,,,,,,,,,,,,75,,,25,,,,""
ITA,ECS,Italy,HIC,2080644597198.96,34.4,7.6,4.3,15.4,22.8,11.6,,3.8,,Yes,Yes,Yes,No,"",60730582,6921585,61938678,2800026,8923548,,16071024,29524e3,,,,,,,,88.92,,,,,,17.6,,19,26.48,,,25.9,,11.02,,""
JAM,LCN,Jamaica,UMC,13801803129.785,62.22,2.81,2.38,5.13,14.73,12.2,,0.53,,Yes,Yes,Yes,Yes,Yes,2881355,,,17e3,1e4,,206.58,1051694.575,,28,,,,63.99,76,,,67,,,,,64,,,,29,,,7,,Source
JOR,MEA,Jordan,UMC,30811666897.1124,50,2,1.5,15.5,15,16,,,,"",No,Yes,Yes,"",8413464,4e6,,43e3,1230441,45e3,4e3,2529997,,,70,,,,,,,,90,,,,,,48,45,,7,,,,Disposal Site
JPN,EAS,Japan,HIC,6052671805314.15,36,5,4,6,33,11,1,4,,Yes,No,Yes,Yes,"",127141e3,35109e3,7269e4,518978,36e5,39284e4,32e4,43981e3,,,,,,,99.9,,,,,,0.1,0.4,1.1,80.2,,,13.3,4.9,,,,Source
